001310025031523333;0013;1002;5031523333;4;T3155;4133123699785865
001310025039036277;0013;1002;5039036277;5;T314;5593256228968637
001310095031025297;0013;1009;5031025297;5;T315;4571626337151869
001310095098409264;0013;1009;5098409264;4;T344;5051231551777834
001310115039461241;0013;1011;5039461241;5;T3217;5336055714567568
001310115091580617;0013;1011;5091580617;3;XZ148;5158916776798467
001310215054247833;0013;1021;5054247833;5;T3106;4930373833115182
001310215057647361;0013;1021;5057647361;6;T3209;4472297968561852
001310285011865813;0013;1028;5011865813;3;XZ1189;48044710494937578
001310285074694762;0013;1028;5074694762;2;XZ1140;58214110775681949
001310355018772932;0013;1035;5018772932;1;XZ115;5862548186143682
001310355054146518;0013;1035;5054146518;2;XZ137;57762610183714443
001310485026253253;0013;1048;5026253253;4;T3276;5752135243493567
001310485055799631;0013;1048;5055799631;1;XZ1143;5910812796649585
001310665012697568;0013;1066;5012697568;5;T330;5934213722283644
001310665036883279;0013;1066;5036883279;3;XZ1183;4994097881856377
001310675033485245;0013;1067;5033485245;1;XZ112;43403110355719258
001310675071967335;0013;1067;5071967335;1;XZ1196;4805753411513531
001311085034578699;0013;1108;5034578699;5;T3294;5956494489912611
001311085055058622;0013;1108;5055058622;3;XZ194;5767442298383894
001311105019166929;0013;1110;5019166929;5;T3258;5937919833528212
001311105063708051;0013;1110;5063708051;5;T3166;4872913388172675
001311325073854207;0013;1132;5073854207;6;T371;4445395962247588
001311325074466131;0013;1132;5074466131;4;T371;4802453788644462
001311665054257456;0013;1166;5054257456;2;XZ137;4900239547246682
001311665072766042;0013;1166;5072766042;3;XZ1246;4868713888676445
001311735040421951;0013;1173;5040421951;2;XZ14;4615997795676158
001311735087010020;0013;1173;5087010020;1;XZ1225;5869084796586998
001311775015056000;0013;1177;5015056000;3;XZ1222;48427010445928718
001311775026713144;0013;1177;5026713144;6;T339;5800075672377576
001311835053713713;0013;1183;5053713713;5;T3258;4725396178923263
001311835054868230;0013;1183;5054868230;3;XZ121;5995481779577152
001311905020629046;0013;1190;5020629046;1;XZ1205;5261379597766199
001311905038301065;0013;1190;5038301065;5;T3107;49304410428396825
001311975034236948;0013;1197;5034236948;4;T360;4269413388825929
001311975039383541;0013;1197;5039383541;2;XZ1259;5927885499958589
001312085054683002;0013;1208;5054683002;1;XZ177;5659074794963826
001312085081076429;0013;1208;5081076429;3;XZ1283;5668741881914523
001312085090602798;0013;1208;5090602798;6;T381;41806910122232583
001312185062912409;0013;1218;5062912409;2;XZ1124;4557666818389662
001312295031079924;0013;1229;5031079924;5;T38;5384971771228169
001312295046750448;0013;1229;5046750448;6;T3257;4411491773582191
001312485018513872;0013;1248;5018513872;1;XZ196;5926836694719197
001312485041733762;0013;1248;5041733762;6;T345;4826419942919437
001312485058579474;0013;1248;5058579474;1;XZ1197;56758010152632971
001312565026664580;0013;1256;5026664580;1;XZ1149;5398603755744835
001312565061107749;0013;1256;5061107749;1;XZ1178;5371481117858635
001312685024345761;0013;1268;5024345761;1;XZ179;4372873322893437
001312685091829216;0013;1268;5091829216;6;T3300;4285181336892228
001312705020286791;0013;1270;5020286791;6;T38;4263276663232695
001312705080529464;0013;1270;5080529464;3;XZ118;49095910534264732
001312715022627655;0013;1271;5022627655;4;T375;4181937656595983
001312715095077515;0013;1271;5095077515;3;XZ1238;5343001995451185
001312845048072357;0013;1284;5048072357;6;T3131;57026610115928989
001312845081905896;0013;1284;5081905896;2;XZ16;4611907743149541
001312905027641755;0013;1290;5027641755;3;XZ1236;5095543922567928
001312905038376335;0013;1290;5038376335;1;XZ1163;4550005534753512
001312955046761335;0013;1295;5046761335;1;XZ192;5948787561754815
001312955090139190;0013;1295;5090139190;2;XZ1105;4649622594446478
001313145043687598;0013;1314;5043687598;4;T322;5118276215266264
001313145084207655;0013;1314;5084207655;2;XZ1247;4776886678664987
001313245055146397;0013;1324;5055146397;1;XZ1296;4647208173893553
001313245063857859;0013;1324;5063857859;6;T352;5695136118368561
001313335060870466;0013;1333;5060870466;4;T3219;5534693899791626
001313335072546272;0013;1333;5072546272;3;XZ1285;5361715298228579
001313335085397591;0013;1333;5085397591;5;T3276;4161757683352825
001313335099084788;0013;1333;5099084788;6;T331;5268782499717259
001313435021356312;0013;1343;5021356312;4;T3196;5616914883472967
001313435090309957;0013;1343;5090309957;1;XZ1145;4117426257275955
001313585028534561;0013;1358;5028534561;2;XZ136;5787887163216157
001313585074091280;0013;1358;5074091280;1;XZ1138;5371897496226472
001313635023512043;0013;1363;5023512043;2;XZ1217;42707610895539995
001313635038735083;0013;1363;5038735083;6;T3194;5506384513479367
001313685044320511;0013;1368;5044320511;1;XZ127;5996562599125363
001313825032837978;0013;1382;5032837978;2;XZ1224;5479424875955775
001313825070975490;0013;1382;5070975490;6;T3113;4412485352857525
001313905011128542;0013;1390;5011128542;1;XZ1135;5725576155319695
001313905078223849;0013;1390;5078223849;5;T361;5355834586264156
001313935025061359;0013;1393;5025061359;6;T3291;4418565715126563
001313935030772983;0013;1393;5030772983;1;XZ1222;4379467577958644
001313935043858872;0013;1393;5043858872;4;T3174;4376769783757586
001313935069839160;0013;1393;5069839160;5;T350;5463118193954562
